id;nisha;domain;kod_stop_faktora;prichina_otseva
N058;Матрасы и основания;FURNITURE;RF-6;Матрасы стандартизированы, МП и бренды дешевле, возвраты
N061;Автозапчасти под заказ по VIN;AUTO;RF-1;МАРКИРОВКА автозапчастей: вышли проекты постановлений (S10). Ломает агентскую модель и работу под заказ
N062;Автохимия и расходники ТО;AUTO;RF-6;Автохимия — витрина сетей и МП, чек низкий
N063;Тюнинг и обвесы;AUTO;DEMAND;Импульсно-статусный спрос, режется первым при экономии (S5,S7)
N065;Шины и диски;AUTO;RF-6;Жёсткая ценовая война, склад под сезон обязателен
N066;Автоэлектроника (регистраторы, сигнализации);AUTO;RF-6;Стандартный компактный товар, на МП дешевле
N068;Оборудование для гаража (домкраты, стойки, верстаки);AUTO;RF-6;Большинство позиций есть на МП дешевле, чек средний
N072;Газонокосилки, триммеры и расходка;GARDEN_FARM;RF-6;МП и сети сильны, гарантия на наших плечах
N073;Мотопомпы и системы полива;GARDEN_FARM;RF-6;Компактно, есть на МП, окно 3 месяца
N074;Дровоколы, бензопилы, садовый бензоинструмент;GARDEN_FARM;RF-9;Бренды и сервис решают, гарантийные обращения регулярны
N076;Оборудование для птицеводства (инкубаторы, брудеры);GARDEN_FARM;DEMAND;Низкий чек при жёстком окне февраль-май, рынок узкий
N078;Клетки, вольеры, кормушки для животных;PETS;RF-6;Мелочёвка проигрывает МП по цене и доставке
N080;Аквариумы и оборудование;PETS;LOGISTICS;Хрупкость, бой при доставке, узкий сегмент
N082;Ветеринарное оборудование и препараты;PETS;RF-4;Ветпрепараты и медизделия — лицензирование оборота
N085;Комплектующие для снегоходов и квадроциклов;SPORT_HOBBY;APPLIC;Ошибка применимости дорога, нужна база совместимости, окно сезонное
N086;Тренажеры для дома и залов;SPORT_HOBBY;YF-4;Вес, подъём на этаж, сильный демпинг б/у
N090;Оборудование и сырье для мыловарения, свечей, эпоксидки;PRODUCTION;RF-6;Сырьё для хобби — МП доминирует, чек низкий
N091;Звуковое и световое оборудование для мероприятий;SPORT_HOBBY;COMPLEX;Сложный технический подбор + конкуренция прокатных компаний
N092;Оборудование для фотостудий;SPORT_HOBBY;DEMAND;Узкий рынок, мелочь уходит на МП
N093;Event-оборудование (шатры, мебель для мероприятий);SPORT_HOBBY;ASSET;Сезон, износ, требуется хранение парка
N095;Вендинговые аппараты;TRADE_EQUIP;LEGAL;Продажа сопровождается обещанием доходности — юридический и репутационный риск
N096;Оборудование для детских площадок;CONSTRUCTION;RF-2;Обязательные ГОСТ и сертификация детского игрового оборудования
N098;Мини-погрузчики и навесное;LOGISTICS_PACK;CAPITAL;Чек от 300 тыс, длинный цикл, сервис — не для стартового капитала
N100;Упаковка и расходники для бизнеса (гофра, стрейч, скотч);LOGISTICS_PACK;RF-10;Гофра и стрейч — объём при копеечной марже, нужен склад
