id;domain;nisha;tip_klienta;chek;opisanie;status;kod;prichina;score;yf;test_no_stock;mp_shield;margin_rub;check;weak_field;demand_stab;repeat;speed;logistics;supplier_ru;kommentariy
E22;TRADE_EQUIP;Оборудование для рынков и ярмарок (палатки, прилавки);B2C/B2B;10-60 тыс;Сезонная торговля на открытом воздухе;ПРОШЛА;;;5.57;YF-2;9;7;4;4;6;5;5;7;5;7;Сезонное окно и невысокий чек
E23;TRADE_EQUIP;Противокражные системы (ворота, датчики, этикетки);B2B;60-300 тыс;Защита торгового зала от краж;ПРОШЛА;;;7.06;YF-3;9;9;8;8;7;5;7;5;7;6;Датчики и этикетки дают повтор, но монтаж и настройка обязательны
E24;TRADE_EQUIP;Комплексное оснащение магазина под ключ;B2B;200 тыс - 1 млн;Полное оснащение торговой точки;ОТСЕЯНА;DUPLICATE;Это не отдельное направление, а способ продажи уже существующей N001 Торговое оборудование, прошедшей фильтр;;;;;;;;;;;;;
E25;TRADE_EQUIP;Рекламно-информационное оборудование для торговли;B2B;20-150 тыс;Световые короба, digital-панели, навигация в зале;ПРОШЛА;;;6.47;;9;7;6;6;5;5;5;7;5;7;Средняя защищённость от МП, спрос отложенный
E26;ENERGY;Солнечные панели и автономные системы для дома;B2C;60-400 тыс;Автономное энергоснабжение дачи и частного дома;ПРОШЛА;;;6.92;;9;7;8;8;6;5;5;5;5;6;Высокий чек и расчёт под потребление, но спрос отложенный - можно жить без этого
E27;ENERGY;Накопители энергии LiFePO4 для дома и дачи;B2C/B2B;50-300 тыс;Аккумуляторные сборки для резервного питания;ПРОШЛА;;;6.82;;9;6;8;8;6;5;5;7;5;5;Растущий сегмент, но товар всё чаще появляется на МП
E28;ENERGY;Зарядные станции для электротранспорта;B2B;80-500 тыс;Оснащение парковок, отелей, автопарков;ПРОШЛА;;;7.13;;9;9;8;8;8;5;3;3;5;5;Поле почти пустое и чек высокий, но рынок узкий и цикл длинный
E29;ENERGY;Тепловое электрооборудование (ИК-панели, конвекторы);B2C;3-25 тыс;Электрообогрев помещений;ОТСЕЯНА;RF-6;Компактный стандартизированный товар с артикулом: прямое сравнение по цене на МП;;;;;;;;;;;;;
E30;ENERGY;Кабельная продукция и кабеленесущие системы;B2B;10-150 тыс;Кабель, лотки, гофра для электромонтажа;ОТСЕЯНА;RF-10;Объём при низкой марже, требуется склад и резка под метраж;;;;;;;;;;;;;
E31;ENERGY;Молниезащита и заземление (комплекты);B2C/B2B;25-150 тыс;Комплекты защиты для частных домов и объектов;ПРОШЛА;;;7.03;;9;9;6;6;8;7;3;5;5;7;Нормативная обязательность для объектов, расчёт комплекта под здание. Поле слабое
E32;ENERGY;Трансформаторные подстанции малой мощности;B2B;400 тыс - 3 млн;КТП для объектов и посёлков;ПРОШЛА;;;7.23;YF-3;9;10;10;10;8;5;3;3;3;6;Максимальный чек проекта, но это проектная продажа с очень длинным циклом
E33;ENERGY;Фитосветильники и освещение для растениеводства;B2B/B2C;10-100 тыс;Досветка для теплиц, ситифермерства, домашних гроверов;ПРОШЛА;;;6.32;;9;5;6;6;6;5;5;7;7;6;Растущий сегмент, но товар компактный и активно представлен на МП
E34;ENERGY;Взрывозащищённое промышленное электрооборудование;B2B;50-500 тыс;Оборудование для опасных производственных объектов;ОТСЕЯНА;RF-2;Сертификация Ex и персональная ответственность за соответствие. Цена ошибки несоразмерна марже теста;;;;;;;;;;;;;
E35;ENERGY;Приборы учёта и энергоаудита (счётчики, тепловизоры);B2B;15-120 тыс;Учёт энергоресурсов и обследование объектов;ПРОШЛА;;;5.97;;9;5;4;4;5;7;5;7;8;6;Компактный товар, МП рядом. Спрос поддерживается требованиями учёта
